trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.1, 'e': 0.269496475324026}",25,8,-24.796562631480036,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.1, 'e': 0.2657235246694896}",25,15,-0.13127374327716668,"{0: 9, 1: 0, 2: 0, 3: 1, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.26200339532411676}",25,13,13.8347208150252,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.2583353477895791}",25,3,13.191820806093032,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.25471865292052503}",35,16,18.34888487142145,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.25115259177963767}",25,17,-0.12231018311340258,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.2476364554947227}",25,12,2.6255954181275274,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': 0.2441695451177966}",30,6,5.765468703939309,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
101,False,"{'a': 0.1, 'e': 0.24075117148614744}",25,7,-2.739867289706673,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
102,False,"{'a': 0.1, 'e': 0.23738065508534137}",20,0,-6.856757782534222,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
103,False,"{'a': 0.1, 'e': 0.2340573259141466}",30,16,22.83335076476202,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.1, 'e': 0.23078052335134855}",20,13,-6.739004149272213,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
105,False,"{'a': 0.1, 'e': 0.22754959602442967}",30,14,-23.140765762508583,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
106,False,"{'a': 0.1, 'e': 0.22436390168008766}",20,0,14.663454732853955,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
